t,v(tgt),v(txd),i(tgt),i(txd)
9.761435305375520e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
9.809435305375520e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
9.857435305375521e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
9.905435305375521e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
9.953435305375521e-06,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
1.000143530537552e-05,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
1.004943530537552e-05,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
1.009743530537552e-05,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
1.014543530537552e-05,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
1.019343530537552e-05,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
1.024143530537552e-05,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
1.028943530537552e-05,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
1.033743530537552e-05,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
1.038543530537552e-05,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
1.043343530537552e-05,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
1.048143530537552e-05,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
1.052943530537552e-05,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
1.057743530537552e-05,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
1.062543530537552e-05,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
1.067343530537552e-05,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
1.072143530537552e-05,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
1.076943530537552e-05,4.999999949999999e+00,5.000000000000000e+00,-5.000000088441203e-12,-2.301657491011083e-24
