t,v(tgt),v(txd),i(tgt),i(txd)
6.834311178759583e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
6.882311178759583e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
6.930311178759584e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
6.978311178759584e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
7.026311178759584e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
7.074311178759584e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
7.122311178759584e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
7.170311178759585e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
7.218311178759585e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
7.266311178759585e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
7.314311178759585e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
7.362311178759586e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
7.410311178759586e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
7.458311178759586e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
7.506311178759586e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
7.554311178759586e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
7.602311178759587e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
7.650311178759587e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
7.698311178759587e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
7.746311178759587e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
7.794311178759588e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
7.842311178759588e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
7.890311178759588e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
7.938311178759588e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
